,지역명,연도,월,분양가격(㎡)
456,경북,2017,12,2390
457,경남,2017,12,2696
458,제주,2017,12,3578
459,서울,2018,1,6623
460,인천,2018,1,3333
461,경기,2018,1,3846
462,부산,2018,1,3842
463,대구,2018,1,3585
464,광주,2018,1,2894
465,대전,2018,1,2744
466,울산,2018,1,3162
467,세종,2018,1,3161
468,강원,2018,1,2324
469,충북,2018,1,2077
470,충남,2018,1,2394
471,전북,2018,1,2226
472,전남,2018,1,2400
473,경북,2018,1,2441
474,경남,2018,1,2696
475,제주,2018,1,3636
476,서울,2018,2,6631
477,인천,2018,2,3342
478,경기,2018,2,3876
479,부산,2018,2,3850
480,대구,2018,2,3364
481,광주,2018,2,2894
482,대전,2018,2,2887
483,울산,2018,2,3174
484,세종,2018,2,3161
485,강원,2018,2,2323
486,충북,2018,2,2166
487,충남,2018,2,2394
488,전북,2018,2,2273
489,전남,2018,2,2356
490,경북,2018,2,2441
491,경남,2018,2,2698
492,제주,2018,2,3829
493,서울,2018,3,6836
494,인천,2018,3,3457
495,경기,2018,3,3876
496,부산,2018,3,3817
497,대구,2018,3,3392
498,광주,2018,3,2930
499,대전,2018,3,2887
500,울산,2018,3,3174
501,세종,2018,3,3161
502,강원,2018,3,2391
503,충북,2018,3,2455
504,충남,2018,3,2394
505,전북,2018,3,2263
506,전남,2018,3,2348
507,경북,2018,3,2440
508,경남,2018,3,2697
509,제주,2018,3,3925
510,서울,2018,4,6841
511,인천,2018,4,3457
512,경기,2018,4,3859
513,부산,2018,4,3863
514,대구,2018,4,3524
515,광주,2018,4,2885
516,대전,2018,4,2972
517,울산,2018,4,3174
518,세종,2018,4,3131
519,강원,2018,4,2277
520,충북,2018,4,2631
521,충남,2018,4,2394
522,전북,2018,4,2317
523,전남,2018,4,2355
524,경북,2018,4,2440
525,경남,2018,4,2690
526,제주,2018,4,3925
527,서울,2018,5,6919
528,인천,2018,5,3436
529,경기,2018,5,3987
530,부산,2018,5,3853
531,대구,2018,5,3651
532,광주,2018,5,2906
533,대전,2018,5,2972
534,울산,2018,5,3174
535,세종,2018,5,3131
536,강원,2018,5,2289
537,충북,2018,5,2636
538,충남,2018,5,2453
539,전북,2018,5,2326
540,전남,2018,5,2356
541,경북,2018,5,2628
542,경남,2018,5,2695
543,제주,2018,5,3925
544,서울,2018,6,6694
545,인천,2018,6,3372
546,경기,2018,6,3927
547,부산,2018,6,3884
548,대구,2018,6,3669
549,광주,2018,6,3000
550,대전,2018,6,2972
551,울산,2018,6,3125
552,세종,2018,6,3131
553,강원,2018,6,2292
554,충북,2018,6,2386
555,충남,2018,6,2467
556,전북,2018,6,2326
557,전남,2018,6,2356
558,경북,2018,6,2631
559,경남,2018,6,2695
560,제주,2018,6,3925
561,서울,2018,7,6820
562,인천,2018,7,3372
563,경기,2018,7,3952
564,부산,2018,7,3950
565,대구,2018,7,3712
566,광주,2018,7,2935
567,대전,2018,7,2939
568,울산,2018,7,3125
569,세종,2018,7,3131
570,강원,2018,7,2312
571,충북,2018,7,2390
572,충남,2018,7,2467
573,전북,2018,7,2333
574,전남,2018,7,2357
575,경북,2018,7,2674
576,경남,2018,7,2696
577,제주,2018,7,3334
